time,values1_1,values1_2,values1_3,values1_4,values1_5,values1_6,values1_7,values1_8
0,110,200,0,0,0,0,0,0
0.0001,110,200,0.011,0.02,0.0108921163944321,0.064243482238908,0.00145397661406774,4.53618113655933e-11
0.0002,110,200,0.0219888013189185,0.0399339483491451,0.0217741055596391,0.135291997131427,0.00626522322397347,7.70823828425905e-10
0.0003,110,200,0.0329664143690214,0.0597948484833446,0.0326484808488771,0.213045846368515,0.0150970702284008,4.10484137657337e-09
0.0004,110,200,0.0439328469784812,0.0795758063428814,0.0435193726482313,0.297397049021805,0.0285971901196856,1.35801314702225e-08
0.0005,110,200,0.0548881027288327,0.0992700388881501,0.054392479504465,0.388229646780435,0.0473958366853176,3.4592671711859e-08
0.0006,110,200,0.065832179342675,0.118870882301568,0.0652750153166279,0.485420033503243,0.0721041755804957,7.46537308587162e-08
0.0007,110,200,0.076765067125669,0.138371799850655,0.0761756513510899,0.588837294503673,0.103312709686023,1.43634263334461e-07
0.0008,110,200,0.0876867474681514,0.157766389402288,0.0871044554327201,0.698343570954409,0.141589808285371,2.54001038237414e-07
0.0009,110,200,0.0985971914092698,0.177048390562283,0.0980728270977717,0.813794435008936,0.187480342399134,4.21043914531785e-07
0.001,110,200,0.109496358267789,0.196211691429304,0.109093429651545,0.935039278853929,0.241504431369225,6.63093716783837e-07
0.0011,110,200,0.120384194342753,0.215250334948769,0.120180119366361,1.06192171505186,0.304156303968291,1.0017302102126e-06
0.0012,110,200,0.13126063168694,0.234158524855147,0.131347872164013,1.19427998633982,0.375903276739866,1.46197971963014e-06
0.0013,110,200,0.142125586955703,0.252930631192918,0.142612708131302,1.331947383046,0.457184851553243,2.07250198372328e-06
0.0014,110,200,0.152978960333411,0.271561195408368,0.153991614219817,1.47475266629306,0.548411933640338,2.86576588379943e-06
0.0015,110,200,0.163820634539376,0.290044935006276,0.165502465481784,1.62252049517664,0.64996617067578,3.87821373429744e-06
0.0016,110,200,0.174650473914755,0.308376747767394,0.17716394519255,1.77507185613746,0.762199412771178,5.15041387076769e-06
