time,values1_1,values1_2,values1_3,values1_4,values1_5,values1_6,values1_7,values1_8
0,0,-100,0,0,0,0,0,0
0.0001,0,-100,0,-0.01,0.000178558069817374,-0.0317343430717818,-1.16252519794578e-05,-3.79428046423013e-13
0.0002,0,-100,-1.83583686218048e-07,-0.0199673724761542,-1.82255856701918e-07,-0.0651765867846133,2.46912105687408e-08,-3.94897641935442e-12
0.0003,0,-100,-1.83396300668672e-07,-0.0299003614580061,-0.000178740305014842,-0.100302827541769,3.77214738834782e-05,-6.70220538798975e-12
0.0004,0,-100,3.74749858051619e-10,-0.0397972355514758,-0.000178512531193628,-0.137088089155049,5.20777073521987e-05,5.82188818337107e-12
0.0005,0,-100,1.83911615742406e-07,-0.0496562890416406,2.27647618596599e-07,-0.175506359281707,-8.59311569522058e-08,3.77950012450998e-11
0.0006,0,-100,1.83677560854697e-07,-0.0594758429580522,0.000178785651106112,-0.215530629995772,-8.37060301694586e-05,6.89385507537739e-11
0.0007,0,-100,-1.40112054310888e-10,-0.0692542460983416,0.000357162117640798,-0.257132933753985,-0.000201369711015569,6.58750384669495e-11
0.0008,0,-100,-3.67354756573065e-07,-0.0789898760148449,0.000535357684673078,-0.300284386108063,-0.000355600408287589,-1.83734228150487e-11
0.0009,0,-100,-9.17780381681833e-07,-0.0886811399573157,0.000356252234255438,-0.344955226512084,-0.000274095207125476,-2.29886658173405e-10
0.001,0,-100,-1.28405953364019e-06,-0.0983264757736804,0.000177329634221045,-0.391114860641098,-0.000155905081315092,-5.50225049193316e-10
0.0011,0,-100,-1.46638020925734e-06,-0.107924352767285,-1.40985272344217e-06,-0.438731903319882,1.40073247133771e-06,-9.32215651741545e-10
0.0012,0,-100,-1.46493067544316e-06,-0.117473272510003,-0.000179967235595623,-0.48777422219634,0.000200182662516794,-1.31305682454949e-09
0.0013,0,-100,-1.27989816169059e-06,-0.126971769610445,-0.000358344294536594,-0.538208981948265,0.000442728932076569,-1.61337451658236e-09
0.0014,0,-100,-9.1146806724838e-07,-0.13641841243671,-0.000536541977109888,-0.590002688935515,0.000731254393468808,-1.73630740410128e-09
0.0015,0,-100,-3.59824817132061e-07,-0.145811803793235,-0.000714561328267632,-0.643121236207742,0.00106789865378005,-1.56662145742831e-09
0.0016,0,-100,3.74848238005728e-07,-0.155150581551368,-0.000892403487457968,-0.697529948769561,0.00145472463414871,-9.69854621149332e-10
0.0017,0,-100,1.29236891903089e-06,-0.164433419233398,-0.00107006968568403,-0.753193629005413,0.00189371728064325,2.08507807278674e-10
0.0018,0,-100,2.39255631245974e-06,-0.173659026549885,-0.000890409668054876,-0.810076601959388,0.00170353087080226,2.10414159194793e-09
0.0019,0,-100,3.30802705692338e-06,-0.182826149890438,-0.000710933119657785,-0.86814276140725,0.00146483695550361,4.68034263408233e-09
0.002,0,-100,4.03896978549769e-06,-0.191933572767121,-0.000531640619706683,-0.927355614599443,0.00117563797112102,7.84178310036376e-09
0.0021,0,-100,4.58557372677474e-06,-0.200980116211854,-0.000352532827564144,-0.987678327589328,0.000834016255728099,1.14729513204869e-08
0.0022,0,-100,4.94802878726734e-06,-0.209964639127217,-0.000173610477689068,-1.04907377007038,0.000438134876692255,1.54373854081843e-08
0.0023,0,-100,5.12652562861891e-06,-0.21888603859115,5.12562934228719e-06,-1.1115045598345,-1.37616866467345e-05,1.95769392292484e-08
0.0024,0,-100,5.12125573558184e-06,-0.227743250115942,0.00018367998368057,-1.17493310677349,-0.000523343245416441,2.3711081071954e-08
0.0025,0,-100,4.93240597638003e-06,-0.236535247861988,0.000362058062641528,-1.23932165634886,-0.00109219591226465,2.76362260244545e-08
0.0026,0,-100,4.56015758775957e-06,-0.245261044806842,0.000540261344075816,-1.30463233243496,-0.00172182550041746,3.11251017085405e-08
0.0027,0,-100,4.00469028702095e-06,-0.253919692870227,0.000718291382998991,-1.37082717948406,-0.00241365476634309,3.39261466451466e-08
0.0028,0,-100,3.26618219268231e-06,-0.262510282995698,0.000896149808516098,-1.4378682039439,-0.00316902342710279,3.5762941809631e-08
0.0029,0,-100,2.34480974830469e-06,-0.271031945189707,0.00107383832075605,-1.50571741486173,-0.00398918831140695,3.63336754350629e-08
0.003,0,-100,1.24074764946914e-06,-0.279483848518939,0.00125135868782231,-1.57433686361492,-0.00487532364073829,3.53106410065787e-08
0.0031,0,-100,-4.58312261110137e-08,-0.287865201066785,0.00142871274276603,-1.64368868271212,-0.0058285214366614,3.23397683379631e-08
0.0032,0,-100,-1.51475588536584e-06,-0.29617524984993,0.00160590238058792,-1.71373512361273,-0.00684979205021445,2.70401875712304e-08
0.0033,0,-100,-3.16585728356198e-06,-0.304413280696052,0.0017829295553384,-1.78443859351647,-0.00794006480936139,1.90038258740643e-08
0.0034,0,-100,-4.99896838501431e-06,-0.312578618083701,0.00195979627743539,-1.85576169107864,-0.0091001887806279,7.79503652272466e-09
