epoch,train_loss,mse_loss,lr
1,0.23054907421271006,0.23054907421271006,0.01
2,0.05813827688495318,0.05813827688495318,0.01
3,0.02398846335709095,0.02398846335709095,0.01
4,0.020138754695653915,0.020138754695653915,0.01
5,0.01829248256981373,0.01829248256981373,0.01
6,0.0170931954557697,0.0170931954557697,0.01
7,0.01591797887037198,0.01591797887037198,0.01
8,0.01493306631843249,0.01493306631843249,0.01
9,0.01434298666814963,0.01434298666814963,0.01
10,0.013451694572965304,0.013451694572965304,0.01
11,0.012556562386453151,0.012556562386453151,0.01
12,0.01197806540876627,0.01197806540876627,0.01
13,0.011179390301307043,0.011179390301307043,0.01
14,0.010287516688307127,0.010287516688307127,0.01
15,0.009578153304755688,0.009578153304755688,0.01
16,0.008914311168094475,0.008914311168094475,0.01
17,0.008212461788207292,0.008212461788207292,0.01
18,0.00762010741358002,0.00762010741358002,0.01
19,0.007114122714847326,0.007114122714847326,0.01
20,0.006640521188577016,0.006640521188577016,0.01
21,0.006171429095168908,0.006171429095168908,0.01
22,0.0056484863782922425,0.0056484863782922425,0.01
23,0.0051903410193820795,0.0051903410193820795,0.01
24,0.004799363669008017,0.004799363669008017,0.01
25,0.004453651669124762,0.004453651669124762,0.01
26,0.004159953817725182,0.004159953817725182,0.01
27,0.0038911504050095874,0.0038911504050095874,0.01
28,0.0035487137579669555,0.0035487137579669555,0.01
29,0.003331210929900408,0.003331210929900408,0.01
30,0.0031842999160289764,0.0031842999160289764,0.01
31,0.0029409533677001794,0.0029409533677001794,0.01
32,0.0027410241464773813,0.0027410241464773813,0.01
33,0.0025992684997618197,0.0025992684997618197,0.01
34,0.002431479111934702,0.002431479111934702,0.01
35,0.002312935780112942,0.002312935780112942,0.01
36,0.0022228070224324862,0.0022228070224324862,0.01
37,0.0021062322659417985,0.0021062322659417985,0.01
38,0.0020186586383109293,0.0020186586383109293,0.01
39,0.001928095348800222,0.001928095348800222,0.01
40,0.0018821305284897486,0.0018821305284897486,0.01
41,0.001792962228258451,0.001792962228258451,0.01
42,0.0017194824603696665,0.0017194824603696665,0.01
43,0.0016502980375662445,0.0016502980375662445,0.01
44,0.0015955249623705943,0.0015955249623705943,0.01
45,0.0015578171626354257,0.0015578171626354257,0.01
46,0.0014965320316453776,0.0014965320316453776,0.01
47,0.0014577361677462857,0.0014577361677462857,0.01
48,0.0014048572241639097,0.0014048572241639097,0.01
49,0.0013826946029439568,0.0013826946029439568,0.01
50,0.0013494011557971437,0.0013494011557971437,0.01
51,0.001321070307555298,0.001321070307555298,0.01
52,0.0012811446174358328,0.0012811446174358328,0.01
53,0.0012719547453646858,0.0012719547453646858,0.01
