epoch,train_loss,mse_loss,lr,w_mse,w_pde1,w_pde2,w_sym,loss_mse,loss_pde1,loss_pde2,loss_sym
1,0.16407383989426308,0.1634779651959737,0.01,1.0,0.25,0.25,0.25,0.1634779651959737,0.00017845179172581993,0.0005379958485718817,0.0023834987931574386
2,0.05793679262278602,0.05706289013226827,0.01,1.0,0.25,0.25,0.25,0.05706289013226827,0.000625879851092274,0.00038732160658886035,0.0034956099620709817
3,0.04570305239370403,0.045389804244041446,0.01,1.0,0.25,0.25,0.25,0.045389804244041446,0.0004463273876657089,0.0002962914431312432,0.0012529925986503561
4,0.039068692052872694,0.038932627191146214,0.01,1.0,0.25,0.25,0.25,0.038932627191146214,0.00030201827563966315,0.00021850321694122005,0.0005442594469059258
5,0.0326809823741011,0.032579017182191215,0.01,1.0,0.25,0.25,0.25,0.032579017182191215,0.00027487262268550695,0.00018934539790886143,0.0004078607676395526
6,0.02696231062679241,0.02688715731104215,0.01,1.0,0.25,0.25,0.25,0.02688715731104215,0.00019209784319779526,0.0001311290543526411,0.0003006132630010446
7,0.020326335987677642,0.020278333375851314,0.01,1.0,0.25,0.25,0.25,0.020278333375851314,0.00012600540212588386,8.619908451995192e-05,0.00019201044730531673
8,0.013012000150774838,0.012969015352427959,0.01,1.0,0.25,0.25,0.25,0.012969015352427959,5.7048136174368365e-05,4.573297822692742e-05,0.00017193919338751585
9,0.006881815123051638,0.006825671469171842,0.01,1.0,0.25,0.25,0.25,0.006825671469171842,2.8055627990397624e-05,2.739405863394495e-05,0.00022457461551918337
10,0.004095516074448824,0.0040311193248877926,0.01,1.0,0.25,0.25,0.25,0.0040311193248877926,5.481854192718553e-05,1.768994115991518e-05,0.00025758699824412665
11,0.0035501214927838496,0.0034847786960502465,0.01,1.0,0.25,0.25,0.25,0.0034847786960502465,8.09559947811067e-05,1.1954873783300475e-05,0.0002613711869344115
12,0.0033568985643796624,0.0032992085597167414,0.01,1.0,0.25,0.25,0.25,0.0032992085597167414,7.82003354591628e-05,1.0409269028362663e-05,0.0002307600186516841
13,0.0032628256568083694,0.0032221219347169003,0.01,1.0,0.25,0.25,0.25,0.0032221219347169003,7.225593193046127e-05,1.014137372597664e-05,0.00016281488836587717
14,0.00324503637093585,0.0032123798970133065,0.01,1.0,0.25,0.25,0.25,0.0032123798970133065,7.136821732274256e-05,1.0138176427669048e-05,0.0001306258956901729
15,0.003180779861092257,0.0031443938302497068,0.01,1.0,0.25,0.25,0.25,0.0031443938302497068,7.051365391816944e-05,9.58564114625915e-06,0.0001455441233702004
16,0.003094078413172004,0.0030615476736178,0.01,1.0,0.25,0.25,0.25,0.0030615476736178,7.246273647372921e-05,9.787781921962354e-06,0.00013012295821681618
17,0.003050570242703543,0.003019455789277951,0.01,1.0,0.25,0.25,0.25,0.003019455789277951,7.149457475558544e-05,9.690313709143083e-06,0.0001244578137023685
18,0.003033818274100971,0.0030000888276845218,0.01,1.0,0.25,0.25,0.25,0.0030000888276845218,7.058490882627666e-05,1.0275979063104993e-05,0.00013491778566579644
19,0.0029920776765114472,0.0029576077746848264,0.01,1.0,0.25,0.25,0.25,0.0029576077746848264,6.932151494159674e-05,1.0657080808111157e-05,0.0001378796073064829
20,0.0029613739392516437,0.0029282539306829374,0.01,1.0,0.25,0.25,0.25,0.0029282539306829374,6.945410010909352e-05,1.081801801774418e-05,0.0001324800342748252
21,0.002963930029485103,0.0029328580169628066,0.01,1.0,0.25,0.25,0.25,0.0029328580169628066,6.932373435120098e-05,1.09423055012788e-05,0.0001242880500891867
22,0.0029585381787910594,0.002929476508870721,0.01,1.0,0.25,0.25,0.25,0.002929476508870721,6.849748194023656e-05,1.0943243736013148e-05,0.00011624667968135327
23,0.0029278005541224653,0.0028962692090620597,0.01,1.0,0.25,0.25,0.25,0.0028962692090620597,6.845264845954565e-05,1.1370042072182211e-05,0.00012612538024162252
24,0.002937703238785616,0.00290640442011257,0.01,1.0,0.25,0.25,0.25,0.00290640442011257,6.633819696920303e-05,1.1751118108804803e-05,0.000125195274692184
25,0.0029037422083395843,0.0028715073131024837,0.01,1.0,0.25,0.25,0.25,0.0028715073131024837,6.502517499029636e-05,1.1771096008790968e-05,0.00012893958094840248
26,0.002905882221602951,0.002877138927578926,0.01,1.0,0.25,0.25,0.25,0.002877138927578926,6.586194795090705e-05,1.1742845769428338e-05,0.00011497317609610036
27,0.002894300847280344,0.0028647993380824725,0.01,1.0,0.25,0.25,0.25,0.0028647993380824725,6.486428125451009e-05,1.2226048966113012e-05,0.0001180060367914848
28,0.0028581461217981998,0.002824931421006719,0.01,1.0,0.25,0.25,0.25,0.002824931421006719,6.317929558766386e-05,1.2217980474815704e-05,0.00013285880316592132
29,0.0028706543005682763,0.002840272895991802,0.01,1.0,0.25,0.25,0.25,0.002840272895991802,6.36741812437928e-05,1.2315324117177321e-05,0.00012152561830589548
30,0.002854621358468042,0.0028216378608097634,0.01,1.0,0.25,0.25,0.25,0.0028216378608097634,6.411923580647756e-05,1.2556760460332346e-05,0.00013193399063311518
31,0.002809145100036403,0.0027749531126270693,0.01,1.0,0.25,0.25,0.25,0.0027749531126270693,5.9881505876546726e-05,1.2673145223137302e-05,0.00013676794963733604
32,0.0028038700508962694,0.002769963815808296,0.01,1.0,0.25,0.25,0.25,0.002769963815808296,6.126683874754235e-05,1.2529161176644266e-05,0.0001356249403518935
33,0.0028066780218068744,0.002773787345116337,0.01,1.0,0.25,0.25,0.25,0.002773787345116337,5.9261586284264925e-05,1.281161518515243e-05,0.0001315627067621487
34,0.0027578977792776034,0.002718679824223121,0.01,1.0,0.25,0.25,0.25,0.002718679824223121,5.5826247019770867e-05,1.2827636965084821e-05,0.00015687182021792979
