epoch,train_loss,mse_loss,lr,w_mse,w_pde1,w_pde2,w_sym,loss_mse,loss_pde1,loss_pde2,loss_sym
1,0.17835777966599078,0.1782949869831403,0.01,1.0,0.05,0.05,0.05,0.1782949869831403,0.00027442107142026847,0.0010558926151134074,0.0012558536293605963
2,0.06484000120617565,0.06475871279835702,0.01,1.0,0.05,0.05,0.05,0.06475871279835702,0.0009610592368214081,0.0005893693829420954,0.0016257681224184732
3,0.051555862224449814,0.051533281803131104,0.01,1.0,0.05,0.05,0.05,0.051533281803131104,0.0007294175176260372,0.0005637387240615984,0.0004516084212809801
4,0.0426184126094995,0.04260792235533396,0.01,1.0,0.05,0.05,0.05,0.04260792235533396,0.00047492581749490154,0.00039707204365792373,0.00020980507833883165
5,0.0363787657368448,0.03636756713191668,0.01,1.0,0.05,0.05,0.05,0.03636756713191668,0.0004619014701650788,0.0003542275216508036,0.0002239720963795359
6,0.029437591645455542,0.02942683771252632,0.01,1.0,0.05,0.05,0.05,0.02942683771252632,0.00030890561174601316,0.00027195236956079803,0.00021507865264235685
7,0.023088331000478017,0.023080242425203325,0.01,1.0,0.05,0.05,0.05,0.023080242425203325,0.00023538271537593876,0.00021399988036137075,0.00016177150149208804
8,0.01590514940949106,0.01589919483910004,0.01,1.0,0.05,0.05,0.05,0.01589919483910004,0.00012760574027197434,0.000152610192890279,0.00011909140594070777
9,0.00913511136204761,0.009129115690787634,0.01,1.0,0.05,0.05,0.05,0.009129115690787634,6.477845333089742e-05,0.00011124815646326169,0.00011991342374434074
10,0.005338068399578333,0.005329993988076846,0.01,1.0,0.05,0.05,0.05,0.005329993988076846,7.843558414606377e-05,8.982137417964016e-05,0.00016148822808948656
11,0.004394315054438872,0.0043830490050216515,0.01,1.0,0.05,0.05,0.05,0.0043830490050216515,0.00012543711078857693,7.633970332487176e-05,0.00022532098519150167
12,0.004239826877771217,0.004227272824694713,0.01,1.0,0.05,0.05,0.05,0.004227272824694713,0.00012686818226939067,7.470336980380428e-05,0.0002510810571645076
13,0.004108604851232182,0.00409794352017343,0.01,1.0,0.05,0.05,0.05,0.00409794352017343,0.00011970647295432476,7.186856964835897e-05,0.00021322661777958273
14,0.0038918839608716857,0.0038825164393832285,0.01,1.0,0.05,0.05,0.05,0.0038825164393832285,0.00011037943113478832,7.142050405188154e-05,0.00018735042637369286
15,0.0038023476345491265,0.0037939490595211584,0.01,1.0,0.05,0.05,0.05,0.0037939490595211584,0.00010805351582045356,7.256287620596899e-05,0.00016797149680011596
16,0.0037124770517038995,0.003704272536560893,0.01,1.0,0.05,0.05,0.05,0.003704272536560893,0.00010914506322781866,7.238361892329219e-05,0.0001640903006773442
17,0.003621767095667868,0.003613966361929973,0.01,1.0,0.05,0.05,0.05,0.003613966361929973,0.00011480168783843207,7.378300360869617e-05,0.000156014672635744
18,0.0035402560290094696,0.003532266446078817,0.01,1.0,0.05,0.05,0.05,0.003532266446078817,0.0001096378662623465,7.518892646961225e-05,0.0001597916561877355
19,0.003576862992091871,0.0035700417899837095,0.01,1.0,0.05,0.05,0.05,0.0035700417899837095,9.743839109432884e-05,7.575998655132329e-05,0.00013642403743385027
20,0.003489680805084087,0.0034832628599057594,0.01,1.0,0.05,0.05,0.05,0.0034832628599057594,0.00010403967947543909,7.795894101339703e-05,0.0001283589022932574
21,0.003447699233250508,0.00344089080269138,0.01,1.0,0.05,0.05,0.05,0.00344089080269138,0.00010029070059924076,7.748599843277285e-05,0.00013616860863597443
22,0.003464161434567359,0.0034585539096345505,0.01,1.0,0.05,0.05,0.05,0.0034585539096345505,0.00010269517927857426,7.935597435183202e-05,0.00011215049744350836
23,0.0034315258497220687,0.0034263226048400004,0.01,1.0,0.05,0.05,0.05,0.0034263226048400004,9.84956270258408e-05,8.038569018632794e-05,0.00010406489454908296
24,0.0034245161641744443,0.0034179641865193845,0.01,1.0,0.05,0.05,0.05,0.0034179641865193845,0.00010373166490656634,8.130330970743672e-05,0.00013103955085777368
25,0.003433763034324026,0.0034282519947737454,0.01,1.0,0.05,0.05,0.05,0.0034282519947737454,0.00010182340871930743,8.182683668565006e-05,0.00011022078833775595
26,0.003382190220509074,0.0033764788104842106,0.01,1.0,0.05,0.05,0.05,0.0033764788104842106,9.706049495434854e-05,8.355662042352681e-05,0.00011422819904206941
27,0.0033826343222093176,0.003377502675478657,0.01,1.0,0.05,0.05,0.05,0.003377502675478657,0.00010168533384179076,8.390156435780227e-05,0.000102632933218653
28,0.003369106459952794,0.0033634377488245566,0.01,1.0,0.05,0.05,0.05,0.0033634377488245566,9.564629678303997e-05,8.567047140483434e-05,0.0001133742208670204
29,0.003331887937792999,0.003326200880110264,0.01,1.0,0.05,0.05,0.05,0.003326200880110264,9.456692738846565e-05,8.664582322429245e-05,0.00011374115129001439
30,0.00333386065766111,0.0033275401840607327,0.01,1.0,0.05,0.05,0.05,0.0033275401840607327,9.574537155761693e-05,8.580552627487728e-05,0.00012640947049173215
